Reporte de Ausentismo
Total de Citas,Citas Ausentes,Porcentaje de Ausentismo
161,161,100.00%

Reporte de Causas de Cancelación
Causa,Cantidad
poeeofdoed,1

Reporte de Tendencias de Citas
Fecha,Cantidad
2024-10-07,6
2024-10-08,4
2024-10-09,10
2024-10-10,2
2024-10-11,6
2024-10-14,6
2024-10-15,4
2024-10-16,9
2024-10-17,4
2024-10-18,5
2024-10-21,4
2024-10-22,6
2024-10-23,4
2024-10-24,3
2024-10-25,4
2024-10-28,7
2024-10-29,7
2024-10-30,4
2024-10-31,6
2024-11-01,7
2024-11-04,7
2024-11-06,4
2024-11-07,2
2024-11-08,6
2024-11-11,4
2024-11-12,2
2024-11-13,5
2024-11-14,5
2024-11-15,6
2024-11-18,5
2024-11-19,7

Reporte del Médico con Más Citas
Médico,Cantidad
Alex del Morillo,10
